sig	state	patient	n_state	n_other	delta
C5_UP	MES	BT333	8	379	0.017044277794225127
C5_UP	MES	BT338	48	429	0.01058683878225708
C5_UP	MES	BT346	324	661	0.0062655082769069725
C5_UP	MES	BT363	202	1307	0.0054419743351130645
C5_UP	MES	BT368	132	1587	0.008584711060292238
C5_UP	MES	BT389	34	678	0.0012444691949760056
C5_UP	MES	BT390	52	364	0.0013598557895743157
C5_UP	MES	BT400	120	2342	0.003619439381643219
C5_UP	MES	BT402	68	475	0.004557630771478305
C5_UP	MES	BT409	42	545	0.008597985389856677
C5_UP	NPC	BT333	63	324	0.002062622679350201
C5_UP	NPC	BT338	26	451	-0.007241934179045617
C5_UP	NPC	BT346	154	831	0.00034704228155046923
C5_UP	NPC	BT363	95	1414	0.004165091389959352
C5_UP	NPC	BT368	525	1194	0.0017320758090769717
C5_UP	NPC	BT389	228	484	0.001584601566451238
C5_UP	NPC	BT390	22	394	-0.005251320817520333
C5_UP	NPC	BT397	41	169	0.007484062365692767
C5_UP	NPC	BT400	159	2303	0.003004305320065237
C5_UP	NPC	BT402	22	521	-0.00357752356499641
C5_UP	NPC	BT409	34	553	-0.0015284618188406984
C5_UP	Cycling	BT333	171	216	-0.00475911389106165
C5_UP	Cycling	BT338	284	193	0.0014857876751731558
C5_UP	Cycling	BT346	259	726	-0.002473723582715359
C5_UP	Cycling	BT363	267	1242	0.004048524919581187
C5_UP	Cycling	BT368	709	1010	-0.002935350775764456
C5_UP	Cycling	BT389	324	388	-0.0030712185153943805
C5_UP	Cycling	BT390	169	247	0.0036059090759803514
C5_UP	Cycling	BT397	120	90	-0.0012328855103040937
C5_UP	Cycling	BT400	1238	1224	-0.0006670076368948674
C5_UP	Cycling	BT402	273	270	0.005228902232352728
C5_UP	Cycling	BT409	345	242	0.0007637499464382413
C5_STABLE_UP	MES	BT333	8	379	0.020261500309913694
C5_STABLE_UP	MES	BT338	48	429	0.010414326977686295
C5_STABLE_UP	MES	BT346	324	661	0.006827696607855316
C5_STABLE_UP	MES	BT363	202	1307	0.004075169049527316
C5_STABLE_UP	MES	BT368	132	1587	0.0072816292807075245
C5_STABLE_UP	MES	BT389	34	678	0.0017820598806222998
C5_STABLE_UP	MES	BT390	52	364	0.002816137875755187
C5_STABLE_UP	MES	BT400	120	2342	0.004244739172371115
C5_STABLE_UP	MES	BT402	68	475	0.005606161911833829
C5_STABLE_UP	MES	BT409	42	545	0.008497090966108845
C5_STABLE_UP	NPC	BT333	63	324	0.0010995112197459411
C5_STABLE_UP	NPC	BT338	26	451	-0.008156136857552343
C5_STABLE_UP	NPC	BT346	154	831	0.003365648780703334
C5_STABLE_UP	NPC	BT363	95	1414	0.004617225458272811
C5_STABLE_UP	NPC	BT368	525	1194	0.0024342763447519067
C5_STABLE_UP	NPC	BT389	228	484	0.003305038166585117
C5_STABLE_UP	NPC	BT390	22	394	-0.003375024637454871
C5_STABLE_UP	NPC	BT397	41	169	0.007553976833451936
C5_STABLE_UP	NPC	BT400	159	2303	0.004511982116913282
C5_STABLE_UP	NPC	BT402	22	521	-0.0023071994654926264
C5_STABLE_UP	NPC	BT409	34	553	-0.00047819147903704895
C5_STABLE_UP	Cycling	BT333	171	216	-0.006423561570652381
C5_STABLE_UP	Cycling	BT338	284	193	6.556092527953972e-05
C5_STABLE_UP	Cycling	BT346	259	726	-0.0054707716054558375
C5_STABLE_UP	Cycling	BT363	267	1242	0.002780936231224218
C5_STABLE_UP	Cycling	BT368	709	1010	-0.0038163566511680846
C5_STABLE_UP	Cycling	BT389	324	388	-0.005514584230371766
C5_STABLE_UP	Cycling	BT390	169	247	0.00196879202139455
C5_STABLE_UP	Cycling	BT397	120	90	-0.0014807622072368076
C5_STABLE_UP	Cycling	BT400	1238	1224	-0.003393160494839287
C5_STABLE_UP	Cycling	BT402	273	270	0.0012600310452066665
C5_STABLE_UP	Cycling	BT409	345	242	-0.0013763958492859496
C5_DOWN	MES	BT333	8	379	0.004678394203708747
C5_DOWN	MES	BT338	48	429	-0.003536022232744185
C5_DOWN	MES	BT346	324	661	0.0012526979127281956
C5_DOWN	MES	BT363	202	1307	0.0007814598890522051
C5_DOWN	MES	BT368	132	1587	-0.006044185099797761
C5_DOWN	MES	BT389	34	678	0.008566316498032855
C5_DOWN	MES	BT390	52	364	-0.000931499331933594
C5_DOWN	MES	BT400	120	2342	0.0014252842152224776
C5_DOWN	MES	BT402	68	475	-0.00046904220448984457
C5_DOWN	MES	BT409	42	545	0.0015716066458918432
C5_DOWN	NPC	BT333	63	324	-0.008417116016584791
C5_DOWN	NPC	BT338	26	451	0.0003819052402829204
C5_DOWN	NPC	BT346	154	831	0.0039701849377875575
C5_DOWN	NPC	BT363	95	1414	-0.0003014949530648625
C5_DOWN	NPC	BT368	525	1194	-0.004944687941372705
C5_DOWN	NPC	BT389	228	484	-0.0011331229896496264
C5_DOWN	NPC	BT390	22	394	0.00707631671234854
C5_DOWN	NPC	BT397	41	169	0.0004095730213675708
C5_DOWN	NPC	BT400	159	2303	0.0006254622587908987
C5_DOWN	NPC	BT402	22	521	-0.00171674067074723
C5_DOWN	NPC	BT409	34	553	0.009030565913260347
C5_DOWN	Cycling	BT333	171	216	0.008867485194076541
C5_DOWN	Cycling	BT338	284	193	0.0037747472480403887
C5_DOWN	Cycling	BT346	259	726	0.0009687273006261377
C5_DOWN	Cycling	BT363	267	1242	-0.0023469955132360276
C5_DOWN	Cycling	BT368	709	1010	0.004750634908251228
C5_DOWN	Cycling	BT389	324	388	0.0027327146744901
C5_DOWN	Cycling	BT390	169	247	-0.002723545955117257
C5_DOWN	Cycling	BT397	120	90	0.007136004823689257
C5_DOWN	Cycling	BT400	1238	1224	0.006748031298182022
C5_DOWN	Cycling	BT402	273	270	0.0007201697414934705
C5_DOWN	Cycling	BT409	345	242	0.0009411638385140586
C5_STABLE_DOWN	MES	BT333	8	379	0.005593278340416452
C5_STABLE_DOWN	MES	BT338	48	429	-0.003251289622297593
C5_STABLE_DOWN	MES	BT346	324	661	0.0015121003369346075
C5_STABLE_DOWN	MES	BT363	202	1307	0.0011584697302859936
C5_STABLE_DOWN	MES	BT368	132	1587	-0.006840452696021182
C5_STABLE_DOWN	MES	BT389	34	678	0.007570553385669254
C5_STABLE_DOWN	MES	BT390	52	364	-0.002080178422407486
C5_STABLE_DOWN	MES	BT400	120	2342	0.0014539836779634552
C5_STABLE_DOWN	MES	BT402	68	475	4.4024829687128175e-05
C5_STABLE_DOWN	MES	BT409	42	545	0.00262077147188855
C5_STABLE_DOWN	NPC	BT333	63	324	-0.012017374011863424
C5_STABLE_DOWN	NPC	BT338	26	451	-0.0015498230227002363
C5_STABLE_DOWN	NPC	BT346	154	831	0.002186006192950063
C5_STABLE_DOWN	NPC	BT363	95	1414	-0.0013544911116116776
C5_STABLE_DOWN	NPC	BT368	525	1194	-0.00855676377216208
C5_STABLE_DOWN	NPC	BT389	228	484	-0.0030550058710008265
C5_STABLE_DOWN	NPC	BT390	22	394	0.009663757132303386
C5_STABLE_DOWN	NPC	BT397	41	169	-0.003216064335131996
C5_STABLE_DOWN	NPC	BT400	159	2303	-0.002242305852362847
C5_STABLE_DOWN	NPC	BT402	22	521	0.0003970603105060144
C5_STABLE_DOWN	NPC	BT409	34	553	0.006230376485316991
C5_STABLE_DOWN	Cycling	BT333	171	216	0.009944808881898526
C5_STABLE_DOWN	Cycling	BT338	284	193	0.004087485875464925
C5_STABLE_DOWN	Cycling	BT346	259	726	0.0017341281488667537
C5_STABLE_DOWN	Cycling	BT363	267	1242	-0.0026572776864819403
C5_STABLE_DOWN	Cycling	BT368	709	1010	0.00669400206346793
C5_STABLE_DOWN	Cycling	BT389	324	388	0.0038331929484110017
C5_STABLE_DOWN	Cycling	BT390	169	247	-0.0013967133606911375
C5_STABLE_DOWN	Cycling	BT397	120	90	0.00941699645205818
C5_STABLE_DOWN	Cycling	BT400	1238	1224	0.00840842193304292
C5_STABLE_DOWN	Cycling	BT402	273	270	-0.0010983966728732586
C5_STABLE_DOWN	Cycling	BT409	345	242	0.0006788645969796336
M_HSF1_heat_shock	MES	BT333	8	379	0.013689767475865922
M_HSF1_heat_shock	MES	BT338	48	429	-0.00892263910150104
M_HSF1_heat_shock	MES	BT346	324	661	-0.0076316336269377505
M_HSF1_heat_shock	MES	BT363	202	1307	-0.0037992276167638783
M_HSF1_heat_shock	MES	BT368	132	1587	0.009758360284055856
M_HSF1_heat_shock	MES	BT389	34	678	0.0005622357587402593
M_HSF1_heat_shock	MES	BT390	52	364	0.009534885934964987
M_HSF1_heat_shock	MES	BT400	120	2342	-0.006684134816974718
M_HSF1_heat_shock	MES	BT402	68	475	0.01581201196965165
M_HSF1_heat_shock	MES	BT409	42	545	0.00256252326805384
M_HSF1_heat_shock	NPC	BT333	63	324	0.026329151517841543
M_HSF1_heat_shock	NPC	BT338	26	451	0.007744702581536256
M_HSF1_heat_shock	NPC	BT346	154	831	0.019161121627499278
M_HSF1_heat_shock	NPC	BT363	95	1414	0.0036740151264434973
M_HSF1_heat_shock	NPC	BT368	525	1194	0.013479065336308937
M_HSF1_heat_shock	NPC	BT389	228	484	0.016682389552607924
M_HSF1_heat_shock	NPC	BT390	22	394	0.007655628949100546
